Sample, Locality
Yanu_Yanu2_336,Yanuca
Yanu_Yanu2_337,Yanuca
Yanu_Yanu2_338,Yanuca
Yanu_Yanu2_339,Yanuca
Yanu_Yanu3_340,Yanuca
Yanu_Yanu3_341,Yanuca
Yanu_Yanu3_342,Yanuca
Yanu_Yanu3_343,Yanuca
Yanu_Yanu3_344,Yanuca
Yanu_Yanu3_345,Yanuca
Yanu_Yanu3_346,Yanuca
Yanu_Yanu3_347,Yanuca
Yanu_Yanu3_348,Yanuca
Yanu_Yanu3_349,Yanuca
Yanu_Yanu4_350,Yanuca
Yanu_Yanu4_351,Yanuca
Yanu_Yanu4_352,Yanuca
Yanu_Yanu4_353,Yanuca
Yanu_Yanu4_354,Yanuca
Yanu_Yanu4_355,Yanuca
Yanu_Yanu4_356,Yanuca
Yanu_Yanu4_357,Yanuca
Yanu_Yanu5_358,Yanuca
Mo_Mo31-92,Fareone
Mo_Mo31-86,Fareone
Mo_Mo31-12,Fareone
Mo_Mo31-14,Fareone
Mo_Mo31-14_5,Fareone
Mo_Mo31-15,Fareone
Mo_Mo31-17,Fareone
Mo_Mo31-17_8,Fareone
Mo_Mo31-19,Fareone
Mo_Mo31-20,Fareone
Mo_Mo31-22,Fareone
Mo_Mo33-66,Fareone
Mo_Mo33-68,Fareone
Mo_Mo33-69,Fareone
Mo_Mo33-70,Fareone
Mo_Mo33-11,Fareone
Mo_Mo41-10,Fareone
Mo_Mo41-11,Fareone
Mo_Mo41-14,Fareone
Mo_Mo41-14_20,Fareone
Mo_Mo41-16,Fareone
Mo_Mo41-17,Fareone
Mo_Mo41-17_23,Fareone
Mo_Mo41-19,Fareone
Mo_Mo41-22,Fareone
Mo_Mo41-22_26,Fareone
Mo_Mo45-88,Fareone
Mo_Mo45-97,Fareone
Mo_Mo45-21,Fareone
Mo_Mo45-22,Fareone
Mo_Mo45-30,Fareone
Mo_Mo45-31,Fareone
Mo_Mo45-32,Fareone
Mo_Mo45-34,Fareone
Mo_Mo45-37,Fareone
Mo_Mo46-81,Fareone
Mo_Mo46-98,Fareone
Mo_Mo46-13,Fareone
Mo_Mo46-19,Fareone
